ICD9dx,CCS Category,CCS Category Description
'65483','195  ','Ot compl bir'
'65484','195  ','Ot compl bir'
'65490','195  ','Ot compl bir'
'65491','195  ','Ot compl bir'
'65492','195  ','Ot compl bir'
'65493','195  ','Ot compl bir'
'65494','195  ','Ot compl bir'
'65500','195  ','Ot compl bir'
'65501','195  ','Ot compl bir'
'65503','195  ','Ot compl bir'
'65510','195  ','Ot compl bir'
'65511','195  ','Ot compl bir'
'65513','195  ','Ot compl bir'
'65520','195  ','Ot compl bir'
'65521','195  ','Ot compl bir'
'65523','195  ','Ot compl bir'
'65530','195  ','Ot compl bir'
'65531','195  ','Ot compl bir'
'65533','195  ','Ot compl bir'
'65540','195  ','Ot compl bir'
'65541','195  ','Ot compl bir'
'65543','195  ','Ot compl bir'
'65560','195  ','Ot compl bir'
'65561','195  ','Ot compl bir'
'65563','195  ','Ot compl bir'
'65570','195  ','Ot compl bir'
'65571','195  ','Ot compl bir'
'65573','195  ','Ot compl bir'
'65580','195  ','Ot compl bir'
'65581','195  ','Ot compl bir'
'65583','195  ','Ot compl bir'
'65590','195  ','Ot compl bir'
'65591','195  ','Ot compl bir'
'65593','195  ','Ot compl bir'
'65600','195  ','Ot compl bir'
'65601','195  ','Ot compl bir'
'65603','195  ','Ot compl bir'
'65610','195  ','Ot compl bir'
'65611','195  ','Ot compl bir'
'65613','195  ','Ot compl bir'
'65620','195  ','Ot compl bir'
'65621','195  ','Ot compl bir'
'65623','195  ','Ot compl bir'
'65640','195  ','Ot compl bir'
'65641','195  ','Ot compl bir'
'65643','195  ','Ot compl bir'
'65650','195  ','Ot compl bir'
'65651','195  ','Ot compl bir'
'65653','195  ','Ot compl bir'
'65660','195  ','Ot compl bir'
'65661','195  ','Ot compl bir'
'65663','195  ','Ot compl bir'
'65670','195  ','Ot compl bir'
'65671','195  ','Ot compl bir'
'65673','195  ','Ot compl bir'
'65680','195  ','Ot compl bir'
'65681','195  ','Ot compl bir'
'65683','195  ','Ot compl bir'
'65690','195  ','Ot compl bir'
'65691','195  ','Ot compl bir'
'65693','195  ','Ot compl bir'
'65900','195  ','Ot compl bir'
'65901','195  ','Ot compl bir'
'65903','195  ','Ot compl bir'
'65910','195  ','Ot compl bir'
'65911','195  ','Ot compl bir'
'65913','195  ','Ot compl bir'
'65920','195  ','Ot compl bir'
'65921','195  ','Ot compl bir'
'65923','195  ','Ot compl bir'
'65930','195  ','Ot compl bir'
'65931','195  ','Ot compl bir'
'65933','195  ','Ot compl bir'
'65940','195  ','Ot compl bir'
'65941','195  ','Ot compl bir'
'65943','195  ','Ot compl bir'
'65950','195  ','Ot compl bir'
'65951','195  ','Ot compl bir'
'65953','195  ','Ot compl bir'
'65960','195  ','Ot compl bir'
'65961','195  ','Ot compl bir'
'65963','195  ','Ot compl bir'
'65970','195  ','Ot compl bir'
