ICD9dx,CCS Category,CCS Category Description
'7149 ','202  ','Rheum arth'
'7200 ','202  ','Rheum arth'
'71500','203  ','Osteoarthros'
'71504','203  ','Osteoarthros'
'71509','203  ','Osteoarthros'
'71510','203  ','Osteoarthros'
'71511','203  ','Osteoarthros'
'71512','203  ','Osteoarthros'
'71513','203  ','Osteoarthros'
'71514','203  ','Osteoarthros'
'71515','203  ','Osteoarthros'
'71516','203  ','Osteoarthros'
'71517','203  ','Osteoarthros'
'71518','203  ','Osteoarthros'
'71520','203  ','Osteoarthros'
'71521','203  ','Osteoarthros'
'71522','203  ','Osteoarthros'
'71523','203  ','Osteoarthros'
'71524','203  ','Osteoarthros'
'71525','203  ','Osteoarthros'
'71526','203  ','Osteoarthros'
'71527','203  ','Osteoarthros'
'71528','203  ','Osteoarthros'
'71530','203  ','Osteoarthros'
'71531','203  ','Osteoarthros'
'71532','203  ','Osteoarthros'
'71533','203  ','Osteoarthros'
'71534','203  ','Osteoarthros'
'71535','203  ','Osteoarthros'
'71536','203  ','Osteoarthros'
'71537','203  ','Osteoarthros'
'71538','203  ','Osteoarthros'
'71580','203  ','Osteoarthros'
'71589','203  ','Osteoarthros'
'71590','203  ','Osteoarthros'
'71591','203  ','Osteoarthros'
'71592','203  ','Osteoarthros'
'71593','203  ','Osteoarthros'
'71594','203  ','Osteoarthros'
'71595','203  ','Osteoarthros'
'71596','203  ','Osteoarthros'
'71597','203  ','Osteoarthros'
'71598','203  ','Osteoarthros'
'V134 ','203  ','Osteoarthros'
'7130 ','204  ','Ot joint dx'
'7131 ','204  ','Ot joint dx'
'7132 ','204  ','Ot joint dx'
'7133 ','204  ','Ot joint dx'
'7134 ','204  ','Ot joint dx'
'7135 ','204  ','Ot joint dx'
'7136 ','204  ','Ot joint dx'
'7137 ','204  ','Ot joint dx'
'7138 ','204  ','Ot joint dx'
'71600','204  ','Ot joint dx'
'71601','204  ','Ot joint dx'
'71602','204  ','Ot joint dx'
'71603','204  ','Ot joint dx'
'71604','204  ','Ot joint dx'
'71605','204  ','Ot joint dx'
'71606','204  ','Ot joint dx'
'71607','204  ','Ot joint dx'
